;time;IPO_entropy;IPO_complexity;IPO_fisher_shanon;IPO_edge_entropy;IPO_edge_complexity;IPO_edge_fisher_shannon;IPO_number_nodes;IPO_self_transition;IPD_entropy;IPD_complexity;IPD_fisher_shanon;IPD_edge_entropy;IPD_edge_complexity;IPD_edge_fisher_shannon;IPD_number_nodes;IPD_self_transition;MP_entropy;MP_complexity;MP_fisher_shanon;MP_edge_entropy;MP_edge_complexity;MP_edge_fisher_shannon;MP_number_nodes;MP_self_transition;TP_ICMP_entropy;TP_ICMP_complexity;TP_ICMP_fisher_shanon;TP_ICMP_edge_entropy;TP_ICMP_edge_complexity;TP_ICMP_edge_fisher_shannon;TP_ICMP_number_nodes;TP_ICMP_self_transition;TP_TCP_entropy;TP_TCP_complexity;TP_TCP_fisher_shanon;TP_TCP_edge_entropy;TP_TCP_edge_complexity;TP_TCP_edge_fisher_shannon;TP_TCP_number_nodes;TP_TCP_self_transition
634;[491, 635];0.9696168766164309;0.028873483383361275;0.024839424452601556;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.1347517730496454;0.9978478348045909;0.0021447267693486937;0.0020658191131809017;0.96929346595908;0.032098294201678645;0.024597980457651103;17.0;0.035460992907801414;0.9007287895516505;0.08515345281321936;0.025695450437825736;0.8030558648795093;0.1804977165081208;0.1947600934562564;15.0;0.23404255319148937;0.981996597196788;0.017715890626859323;0.012313410714896814;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9992329351017288;0.0007526970146269373;0.0005908918048310591;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
635;[492, 636];0.971678951103789;0.0267343814569423;0.023370523981544173;0.990837632555437;0.009195596539434117;0.00631378215210273;18.0;0.1347517730496454;0.9978478348045912;0.002144726769348694;0.0018086402798078455;0.96929346595908;0.032098294201678645;0.024597980457651103;17.0;0.035460992907801414;0.9045721317256928;0.08266105621289563;0.02534847492632361;0.8509553984313722;0.1540793684887149;0.16433051498797902;15.0;0.23404255319148937;0.9837239204642545;0.01584557015556656;0.011115324437629168;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9987606617654281;0.0012055400400767752;0.000680004545748902;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
636;[493, 637];0.9701249022821596;0.02830027180590753;0.02564581514480828;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.1347517730496454;0.9975267663191234;0.0024547942472847206;0.00260983739840034;0.96929346595908;0.032098294201678645;0.024597980457651103;17.0;0.035460992907801414;0.9015867417547756;0.08445797117316681;0.027606303152391043;0.8509553984313722;0.1540793684887149;0.16433051498797902;15.0;0.23404255319148937;0.9830232244727869;0.01653261709339282;0.01233393937023805;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9985897228193467;0.0013762315482896729;0.0010629077069397635;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
637;[494, 638];0.9695304394290796;0.028820449772705464;0.026805861526472408;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.1347517730496454;0.9978478348045909;0.0021447267693486937;0.0020658191131809017;0.96929346595908;0.032098294201678645;0.024597980457651103;17.0;0.035460992907801414;0.8972683783452188;0.0873163064983109;0.0295673743499998;0.8509553984313722;0.1540793684887149;0.16433051498797902;15.0;0.24113475177304963;0.9822012980507075;0.01731216144292876;0.01345800324971649;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9992329351017288;0.0007526970146269373;0.0005908918048310591;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
638;[495, 639];0.9684312791390792;0.02998607037054856;0.02949773257937189;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.1347517730496454;0.9987057870077163;0.0012863252540726638;0.0010638211988409376;0.9566504715755689;0.04270672693661957;0.04246125995305927;17.0;0.035460992907801414;0.89476806868161;0.08954631444138812;0.02849402483289283;0.8509553984313722;0.1540793684887149;0.16433051498797902;15.0;0.24113475177304963;0.983944590106358;0.015755843376299046;0.012506374430410538;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9994038740478102;0.0005817886077802497;0.00036113542101106483;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
639;[496, 640];0.9695304394290796;0.028820449772705464;0.026805861526472408;0.9488801212514659;0.05009849909615667;0.07260032500972276;18.0;0.1347517730496454;0.9983847185222486;0.0015969365638446812;0.0014624037187352802;0.9566504715755689;0.04270672693661957;0.04246125995305927;17.0;0.035460992907801414;0.8951716249516294;0.08919551034273825;0.02676181661287823;0.8509553984313722;0.1540793684887149;0.16433051498797902;15.0;0.24113475177304963;0.9849537471603165;0.01478350983342526;0.010460053185960464;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9990691228279186;0.0009129856270037627;0.0007002740929852084;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
640;[497, 641];0.9701249022821596;0.02830027180590753;0.02564581514480828;0.9488801212514659;0.05009849909615667;0.07260032500972276;18.0;0.1347517730496454;0.9987194697421402;0.001266196095519554;0.0012815786098934012;0.9566504715755689;0.04270672693661957;0.04246125995305927;17.0;0.035460992907801414;0.8976719346152381;0.08696329424934619;0.028022091197179005;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9827344164613008;0.01712410275375617;0.011870535655473576;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9993901913133862;0.0006019409545883952;0.00044999835003961254;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
641;[498, 642];0.9674509814474227;0.030590504095156307;0.02703171036602284;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.1347517730496454;0.9987194697421401;0.001266196095519554;0.0010205515263409489;0.9566504715755689;0.04270672693661957;0.04246125995305927;17.0;0.035460992907801414;0.8976719346152381;0.08696329424934619;0.028022091197179005;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9816618459768965;0.018035469370345048;0.012387858539440584;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9988981838818374;0.0010837800442357224;0.0005549661967874166;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
642;[499, 643];0.9650566623128745;0.03292952472755968;0.03066416458436704;0.9488801212514659;0.05009849909615667;0.06096377828419862;18.0;0.1347517730496454;0.9983847185222486;0.0015969365638446812;0.0014624037187352802;0.9566504715755689;0.04270672693661957;0.04246125995305927;17.0;0.035460992907801414;0.8976719346152381;0.08696329424934619;0.028022091197179005;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9825832116104677;0.017261223864044807;0.012717313871444147;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9990691228279186;0.0009129856270037627;0.0007002740929852084;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
643;[500, 644];0.9638918836076542;0.034185142711607344;0.03208995203616391;0.9488801212514659;0.05009849909615667;0.06096377828419862;18.0;0.1347517730496454;0.9978478348045909;0.0021447267693486937;0.0016632045144827497;0.9566504715755689;0.04270672693661957;0.05487357646028503;17.0;0.035460992907801414;0.8976719346152381;0.08696329424934619;0.028022091197179005;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9827344164613008;0.01712410275375617;0.011870535655473576;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9990691228279186;0.0009129856270032738;0.0005487066574187648;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
644;[501, 645];0.9611171733545809;0.036511679573864114;0.033474641711607835;0.9488801212514659;0.05009849909615667;0.06096377828419862;18.0;0.1347517730496454;0.9978478348045912;0.002144726769348694;0.0018086402798078455;0.9566504715755689;0.04270672693661957;0.04246125995305927;17.0;0.035460992907801414;0.9007287895516505;0.08515345281321936;0.025695450437825736;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9809911244056502;0.018676007322804326;0.012914046822468078;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9987606617654281;0.0012055400400767752;0.000680004545748902;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
645;[502, 646];0.9635114924891292;0.03419177485787417;0.029684403119138496;0.9187754171820363;0.07821885334427424;0.09911165235168157;18.0;0.1347517730496454;0.9971771132333449;0.002806917818576698;0.002542659532231161;0.9566504715755689;0.04270672693661957;0.04246125995305927;17.0;0.035460992907801414;0.9015867417547756;0.08445797117316681;0.027606303152391043;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9827344164613008;0.01712410275375593;0.011380286265814124;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9985897228193467;0.0013762315482894285;0.0011286880426555064;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
646;[503, 647];0.9644087882712672;0.03333563137422737;0.029453379799952332;0.9488801212514659;0.05009849909615667;0.06096377828419862;18.0;0.1347517730496454;0.9961225612395491;0.0038715167555613446;0.0033259013759571942;0.96929346595908;0.032098294201678645;0.024597980457651103;17.0;0.035460992907801414;0.8976719346152381;0.08696329424934619;0.028022091197179005;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9849537471603165;0.01478350983342526;0.009399791401996548;0.8640197266773723;0.1178401222720609;0.11589736465688685;18.0;0.07092198581560283;0.9980762574597579;0.001889078803004359;0.0014782911249206668;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
647;[504, 648];0.9678402515638317;0.03029862181284101;0.02592443478299538;0.9488801212514659;0.05009849909615667;0.06096377828419862;18.0;0.1276595744680851;0.9967932828107956;0.0032107463502985003;0.0030804931071696396;0.96929346595908;0.032098294201678645;0.024597980457651103;17.0;0.035460992907801414;0.9007287895516505;0.08515345281321936;0.025695450437825736;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9849537471603165;0.01478350983342526;0.009399791401996548;0.9607329284860074;0.03998276446058072;0.0420510802598834;18.0;0.07092198581560283;0.9984110086796496;0.0015585388003650415;0.0011518494146710865;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
648;[505, 649];0.971678951103789;0.0267343814569423;0.023370523981544173;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.1276595744680851;0.9971771132333449;0.002806917818576698;0.002542659532231161;0.96929346595908;0.032098294201678645;0.024597980457651103;17.0;0.035460992907801414;0.9015867417547756;0.08445797117316681;0.027606303152391043;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.986399205128698;0.013491427312564917;0.008216633109620865;0.9306282244165778;0.06882298225072127;0.06923094716167101;18.0;0.07092198581560283;0.9985897228193467;0.0013762315482894285;0.0011286880426555064;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
649;[506, 650];0.9739328705066742;0.02448310189574485;0.021091724770335718;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.1347517730496454;0.9971771132333447;0.0028069178185764535;0.0023220246769835077;0.96929346595908;0.032098294201678645;0.024597980457651103;17.0;0.035460992907801414;0.8972683783452188;0.0873163064983109;0.0295673743499998;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9881990614101664;0.011591280072252791;0.00669624130076165;0.9306282244165778;0.06882298225072127;0.06923094716167101;18.0;0.07092198581560283;0.9988981838818374;0.001083780044235234;0.0009252821277466927;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
650;[507, 651];0.9744697542243317;0.02396080334842692;0.021178056778975225;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.1347517730496454;0.9978478348045909;0.0021447267693486937;0.0016632045144827497;0.9566504715755689;0.04270672693661957;0.04246125995305927;17.0;0.035460992907801414;0.8939840785286602;0.08925866340779309;0.03209331515771424;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9888697829814127;0.010941043392178577;0.005868606618877387;0.9306282244165778;0.06882298225072127;0.06923094716167101;18.0;0.07092198581560283;0.9990691228279186;0.0009129856270032738;0.0005487066574187648;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
651;[508, 652];0.9744697542243317;0.02396080334842692;0.021178056778975225;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.12765957446808512;0.9980350654364699;0.0019496650131731452;0.0014038987958889164;0.96929346595908;0.032098294201678645;0.024597980457651103;17.0;0.035460992907801414;0.8932833825371922;0.08982328628238499;0.029913751071124477;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9888697829814127;0.010941043392178577;0.005868606618877387;0.9607329284860074;0.03998276446058072;0.0420510802598834;18.0;0.06382978723404256;0.9990691228279186;0.0009129856270037627;0.0007002740929852084;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
652;[509, 653];0.9756888737793828;0.02299427451444613;0.021163784641466434;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.12765957446808512;0.9980350654364699;0.0019496650131731452;0.0010364944280383567;0.9607329284860074;0.03998276446058072;0.025304255732938236;18.0;0.035460992907801414;0.9007303812395901;0.0837139651670956;0.02773509890598979;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9898576460898563;0.010063974557807843;0.005995898569306263;0.9607329284860074;0.03998276446058072;0.0420510802598834;18.0;0.05673758865248227;0.9990691228279186;0.0009129856270032738;0.0005487066574187648;0.956650471575569;0.04270672693661934;0.038429397798721454;17.0;0.0425531914893617
653;[510, 654];0.9763067491746099;0.022434748865914865;0.019966801620802978;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.12765957446808512;0.9980350654364699;0.0019496650131731452;0.0014038987958889164;0.9607329284860074;0.03998276446058072;0.025304255732938236;18.0;0.035460992907801414;0.9046451883791273;0.08118344657989784;0.027409730097870465;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.22695035460992907;0.9905614452946293;0.009439387710326529;0.00581750784719648;0.9607329284860074;0.03998276446058072;0.0420510802598834;18.0;0.05673758865248227;0.9988981838818374;0.0010837800442354782;0.0010066038654906362;0.967132018086354;0.030601750822931956;0.04289321881345246;18.0;0.0425531914893617
654;[511, 655];0.9756888737793828;0.02299427451444613;0.021163784641466434;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.12765957446808512;0.9973343694450022;0.002656796316611856;0.0016721313404210012;0.9607329284860074;0.03998276446058072;0.025304255732938236;18.0;0.035460992907801414;0.9046451883791273;0.08118344657989784;0.027409730097870465;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.2198581560283688;0.9905614452946293;0.009439387710326529;0.00581750784719648;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9985485307960588;0.0014368701638762568;0.0013365491538721713;0.967132018086354;0.030601750822931956;0.04289321881345246;18.0;0.0425531914893617
655;[512, 656];0.9763067491746099;0.022434748865914865;0.019966801620802978;0.9908376325554372;0.00919559653943412;0.01262756430420546;18.0;0.12765957446808512;0.9973343694450023;0.002656796316612344;0.001963209873148318;0.9607329284860074;0.03998276446058072;0.025304255732938236;18.0;0.028368794326241134;0.9046451883791273;0.08118344657989784;0.027409730097870465;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.22695035460992907;0.9905614452946293;0.009439387710326529;0.00581750784719648;0.9607329284860074;0.03998276446058072;0.0420510802598834;18.0;0.05673758865248227;0.9990619961556475;0.0009235469127676147;0.0007535609985771035;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
656;[513, 657];0.9774656547630378;0.021257315112724124;0.018091970762196305;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.12765957446808512;0.9971771132333449;0.002806917818576698;0.0024362822479330535;0.9607329284860074;0.03998276446058072;0.025304255732938236;18.0;0.028368794326241134;0.9014310772310578;0.08313871690262663;0.029867340102106343;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9897395188725496;0.010231011876246202;0.0067772115346635235;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9990619961556475;0.0009235469127676147;0.0007535609985771035;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
657;[514, 658];0.978287581185117;0.020484983521416398;0.017244472694997376;0.9908376325554372;0.00919559653943412;0.00631378215210273;18.0;0.12765957446808512;0.9963191610302194;0.0036626926119759278;0.002908387341133016;0.9306282244165778;0.06882298225072127;0.06923094716167101;18.0;0.028368794326241134;0.896824059552261;0.08623168604427078;0.03203283181666711;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9885437122362277;0.011326244004463842;0.0077335289597159;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9992329351017288;0.0007526970146269373;0.0005908918048310591;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
658;[515, 659];0.9788783680870156;0.019877871000070713;0.015376696661648589;0.9789848253208955;0.020031194717033057;0.023350869007568574;18.0;0.12765957446808512;0.9963191610302194;0.0036626926119759278;0.002908387341133016;0.9306282244165778;0.06882298225072127;0.06923094716167101;18.0;0.028368794326241134;0.896824059552261;0.08623168604427078;0.03203283181666711;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9886949170870609;0.011187351299977956;0.007943409013571465;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9992329351017288;0.0007526970146269373;0.0005908918048310591;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
659;[516, 660];0.9806091242491939;0.018415091852553328;0.014405687427530987;0.9607329284860074;0.03998276446058072;0.06187702030635964;18.0;0.12056737588652482;0.9968560447478769;0.00311656267321587;0.002689496857234022;0.9306282244165778;0.06882298225072127;0.06923094716167101;18.0;0.028368794326241134;0.8931748260260111;0.08996192881504066;0.03410205972257508;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9892475114410008;0.010703403324753632;0.007832585419218803;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9992329351017288;0.0007526970146269373;0.0005534287692075464;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
660;[517, 661];0.9829641733050288;0.016294585811859746;0.012130781611454347;0.9607329284860074;0.03998276446058072;0.06187702030635964;18.0;0.12056737588652482;0.9967048398970438;0.0032578543584191777;0.003110111053828871;0.9488801212514659;0.050098499096156206;0.04737384483330482;18.0;0.028368794326241134;0.8893081036890101;0.0923157001457444;0.03427885098231543;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9884255850189212;0.011492905544493469;0.009181885306830218;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9988981838818374;0.001083780044235234;0.0009987467458226337;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
661;[518, 662];0.983634894876275;0.015651084189051128;0.01121945008427583;0.9607329284860074;0.03998276446058072;0.06187702030635964;18.0;0.12056737588652482;0.99737556146829;0.0025962819598322746;0.0026332706347786117;0.9607329284860074;0.03998276446058072;0.025304255732938236;18.0;0.028368794326241134;0.892661360666422;0.09036952602003463;0.03177058186004334;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9892475114410008;0.010703403324753632;0.008518311040564736;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9993901913133865;0.0006019409545881508;0.00059677569818329;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
662;[519, 663];0.9816777823831492;0.017680207040044842;0.013096124563900403;0.9607329284860074;0.03998276446058072;0.042012192481623266;18.0;0.12056737588652482;0.9983847185222486;0.0015969365638446812;0.001498858204611325;0.9488801212514659;0.050098499096156206;0.04737384483330482;18.0;0.028368794326241134;0.8964591258425697;0.08802450256896051;0.03166115760081663;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9892475114410008;0.010703403324753632;0.008518311040564736;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9993901913133865;0.0006019409545881508;0.00059677569818329;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
663;[520, 664];0.9811643170235604;0.01817581237917333;0.013325293356058272;0.9187754171820363;0.07821885334427424;0.07322330470336312;18.0;0.12056737588652482;0.9977139969510023;0.002259853699648309;0.0018763388228872349;0.9607329284860074;0.03998276446058072;0.025304255732938236;18.0;0.028368794326241134;0.8931748260260111;0.08996192881504066;0.03410205972257508;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.23404255319148937;0.9884255850189212;0.011492905544493469;0.009181885306830218;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9990554400934948;0.0009331266824321422;0.0008217238394514546;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
664;[521, 665];0.9788092679677256;0.020287767641090644;0.01560019917213491;0.9187754171820363;0.07821885334427424;0.07322330470336312;18.0;0.12056737588652482;0.9977139969510024;0.0022598536996483094;0.001910862992155375;0.9306282244165778;0.06882298225072127;0.06923094716167101;18.0;0.028368794326241134;0.8893081036890101;0.0923157001457444;0.03427885098231543;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9884255850189212;0.011492905544493469;0.009181885306830218;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.04964539007092199;0.9988981838818374;0.001083780044235234;0.0009237526989416237;0.9789848253208955;0.020031194717033057;0.019280735909356184;18.0;0.035460992907801414
665;[522, 666];0.9790058677583959;0.020085896385434704;0.014528093443022565;0.9187754171820363;0.07821885334427424;0.07322330470336312;18.0;0.12056737588652482;0.9977139969510024;0.0022598536996483094;0.002059570656906957;0.9306282244165778;0.06882298225072127;0.06923094716167101;18.0;0.028368794326241134;0.8893081036890101;0.0923157001457444;0.03427885098231543;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9884255850189212;0.011492905544493469;0.009181885306830218;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.04964539007092199;0.9988981838818374;0.001083780044235234;0.0009987467458226337;0.9789848253208955;0.020031194717033057;0.030917282634880326;18.0;0.035460992907801414
666;[523, 667];0.9788092679677256;0.020287767641090644;0.01560019917213491;0.9187754171820363;0.07821885334427424;0.07322330470336312;18.0;0.12056737588652482;0.9977139969510023;0.002259853699648309;0.0018763388228872349;0.9488801212514659;0.050098499096156206;0.04737384483330482;18.0;0.028368794326241134;0.892661360666422;0.09036952602003463;0.03177058186004334;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9884255850189212;0.011492905544493469;0.009181885306830218;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.05673758865248227;0.9993901913133865;0.0006019409545881508;0.00059677569818329;0.9607329284860076;0.03998276446058072;0.039807431205993074;18.0;0.035460992907801414
667;[524, 668];0.9764387324178768;0.022736211177624702;0.017857459857618593;0.9488801212514659;0.050098499096156206;0.05273549718498638;18.0;0.12056737588652482;0.9977139969510023;0.002259853699648309;0.0018763388228872349;0.909961750240577;0.08386502482452256;0.09545283569603254;18.0;0.028368794326241134;0.8944810061003095;0.08834388762802431;0.03099641267335556;0.8734192714589268;0.13735883353869802;0.09789179920672722;15.0;0.24113475177304963;0.9878729906649815;0.011975999876416182;0.009029407765618716;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.06382978723404256;0.9993901913133865;0.0006019409545881508;0.00059677569818329;0.9607329284860076;0.03998276446058072;0.039807431205993074;18.0;0.035460992907801414
668;[525, 669];0.9764387324178768;0.022736211177624702;0.017857459857618593;0.9187754171820363;0.07821885334427424;0.07322330470336312;18.0;0.12056737588652482;0.9977139969510023;0.002259853699648309;0.0018763388228872349;0.909961750240577;0.08386502482452256;0.09545283569603254;18.0;0.028368794326241134;0.8934404226382693;0.08926288944014185;0.033528003046991564;0.8509553984313722;0.1540793684887149;0.18222843898959745;15.0;0.24113475177304963;0.9871935886190286;0.012563927461355326;0.009255748316208276;0.9400664543100068;0.05624129096313678;0.046373014194154384;18.0;0.07092198581560283;0.9993901913133865;0.0006019409545881508;0.00059677569818329;0.9607329284860076;0.03998276446058072;0.039807431205993074;18.0;0.035460992907801414
669;[526, 670];0.9776444892625054;0.021577469639688623;0.015398046950713312;0.9187754171820363;0.07821885334427424;0.07322330470336312;18.0;0.12056737588652482;0.9967048398970438;0.0032578543584191777;0.0025607155933049007;0.909961750240577;0.08386502482452256;0.09545283569603254;18.0;0.028368794326241134;0.8934404226382693;0.08926288944014185;0.033528003046991564;0.8509553984313722;0.1540793684887149;0.18222843898959745;15.0;0.24113475177304963;0.9861844315650702;0.013540812225417108;0.010995366238224337;0.9789848253208955;0.020031194717033057;0.01388019577941448;18.0;0.07092198581560283;0.9990554400934948;0.0009331266824321422;0.0008217238394514546;0.9607329284860076;0.03998276446058072;0.039807431205993074;18.0;0.035460992907801414
670;[527, 671];0.9797065637498635;0.019404294870112943;0.014048794124750616;0.9488801212514659;0.050098499096156206;0.05273549718498638;18.0;0.12056737588652482;0.9958468876939187;0.004112833048926497;0.003364991607723351;0.8798570461711475;0.10954180855490345;0.11198725421878944;18.0;0.028368794326241134;0.8874414782227809;0.0936057823361574;0.03534570265282787;0.9699870314266158;0.03000430827113378;0.018255169944413126;15.0;0.24822695035460993;0.9878957365983568;0.011777054899112576;0.009788389526710278;0.9789848253208955;0.020031194717033057;0.01388019577941448;18.0;0.07092198581560283;0.9983847185222486;0.0015969365638446812;0.0013891349454206278;0.9488801212514659;0.050098499096156206;0.045130195779414475;18.0;0.035460992907801414
671;[528, 672];0.9788092679677256;0.020287767641090644;0.01560019917213491;0.9488801212514659;0.050098499096156206;0.05273549718498638;18.0;0.12056737588652482;0.9952036754115363;0.004732079698761751;0.0041301141328511145;0.8798570461711475;0.10954180855490345;0.11198725421878944;18.0;0.028368794326241134;0.8822205968384783;0.09707506462193101;0.03819063908697001;0.9699870314266158;0.03000430827113378;0.018255169944413126;15.0;0.2553191489361702;0.9887176630204363;0.010988222198699637;0.008835417933381865;0.9789848253208955;0.020031194717032578;0.01388019577941448;18.0;0.07092198581560283;0.9978927110906997;0.002077799709003857;0.0019399577141944366;0.9488801212514659;0.050098499096156206;0.045130195779414475;18.0;0.035460992907801414
672;[529, 673];0.9778001109137672;0.0212481646247702;0.016809605374006113;0.9607329284860074;0.03998276446058072;0.06187702030635964;18.0;0.12056737588652482;0.9938523165079816;0.006065579939578228;0.005123936623436261;0.909961750240577;0.08386502482452256;0.09545283569603254;18.0;0.028368794326241134;0.8787329523334738;0.0990169098051412;0.04065294604013407;0.9699870314266158;0.03000430827113378;0.018255169944413126;15.0;0.2624113475177305;0.9876069562719461;0.011963674847814031;0.009516332802058911;0.9789848253208955;0.020031194717032578;0.01388019577941448;18.0;0.07092198581560283;0.9972219895194531;0.0027400656729577887;0.0024661459972219286;0.9488801212514659;0.050098499096156206;0.045130195779414475;18.0;0.035460992907801414
